sample	strainID	genus	species	count
41AYA	HAMBI-2467	Thermomonas	haemolytica	0
41AYA	HAMBI-2494	Paraburkholderia	kururiensis	190
41AYA	HAMBI-2659	Stenotrophomonas	maltophilia	629
41AYA	HAMBI-2792	Moraxella	canis	0
41AYA	HAMBI-3031	Niabella	yanshanensis	71
41AYA	HAMBI-3172	Azospirillum	brasilense	457
41AYA	HAMBI-3237	Microvirga	lotononidis	1
41AYA	JE2571RP4	Escherichia	coli	0
41AYA	PsFluSBW25	Pseudomonas	fluorescens	65
41AYB	HAMBI-0097	Acinetobacter	lwoffii	0
41AYB	HAMBI-0105	Agrobacterium	tumefaciens	343
41AYB	HAMBI-0216	Azorhizobium	caulinodans	6
